task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
581	36/90c8a3	110742	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Oct_VW_C2_S)	COMPLETED	0	2024-04-03 09:31:19.133	502ms	55ms	62.9%	1.5 MB	3.9 MB	118.5 KB	927 B
582	e4/4dc90c	111148	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Oct_VW_C3_B)	COMPLETED	0	2024-04-03 09:31:19.658	574ms	63ms	47.3%	1.5 MB	3.9 MB	118.5 KB	927 B
114	85/6685e2	108263	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Aug_SF_S3_B)	COMPLETED	0	2024-04-03 09:31:15.214	5.4s	5s	287.0%	567.9 MB	6.4 GB	29.2 MB	5 MB
586	7a/dbc77b	111482	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Oct_VW_C3_S)	COMPLETED	0	2024-04-03 09:31:20.251	489ms	52ms	45.2%	1.5 MB	3.9 MB	118.5 KB	926 B
119	d3/7c6a5c	110734	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Aug_VW_C1_B)	COMPLETED	0	2024-04-03 09:31:19.110	2.4s	2s	363.2%	315.2 MB	1.7 GB	236.7 MB	226.2 MB
116	cb/a2566b	108922	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Aug_SF_S3_S)	COMPLETED	0	2024-04-03 09:31:16.329	5.4s	5s	263.6%	801.5 MB	6.4 GB	39.7 MB	5 MB
591	09/e0dd14	112381	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Oct_VW_S5_B)	COMPLETED	0	2024-04-03 09:31:21.592	477ms	33ms	85.4%	0	0	118.5 KB	926 B
120	cd/fa7ed6	110149	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Aug_VW_C1_B)	COMPLETED	0	2024-04-03 09:31:18.126	4.3s	4s	306.4%	436.2 MB	6.3 GB	29 MB	5 MB
592	fb/f37e71	112954	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Oct_VW_S5_S)	COMPLETED	0	2024-04-03 09:31:22.090	572ms	45ms	85.5%	1.5 MB	3.9 MB	118.5 KB	927 B
596	2a/2abd0a	113314	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Oct_VW_S6_B)	COMPLETED	0	2024-04-03 09:31:22.694	495ms	51ms	45.4%	1.5 MB	3.9 MB	118.5 KB	926 B
121	66/aa50f4	112378	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Aug_VW_C1_S)	COMPLETED	0	2024-04-03 09:31:21.567	2.3s	2s	457.3%	319.7 MB	1.7 GB	311.6 MB	299.7 MB
125	26/3f5693	112571	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Aug_VW_C2_B)	COMPLETED	0	2024-04-03 09:31:21.776	2.2s	1s	424.4%	354.7 MB	1.7 GB	322.2 MB	311.1 MB
601	c0/a4787f	114370	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Oct_VW_S6_S)	COMPLETED	0	2024-04-03 09:31:23.984	574ms	51ms	64.4%	1.5 MB	3.9 MB	118.5 KB	927 B
602	0c/1f9ff7	114954	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Oct_VW_S7_B)	COMPLETED	0	2024-04-03 09:31:24.586	613ms	52ms	57.9%	1.5 MB	3.9 MB	118.5 KB	926 B
122	6f/b2f502	112038	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Aug_VW_C1_S)	COMPLETED	0	2024-04-03 09:31:20.641	5.3s	5s	239.2%	414.6 MB	6.4 GB	33.7 MB	5 MB
609	71/abee4b	115711	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Oct_VW_S7_S)	COMPLETED	0	2024-04-03 09:31:26.032	503ms	43ms	77.8%	0	0	118.5 KB	927 B
128	51/fbfdfb	114358	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Aug_VW_C2_S)	COMPLETED	0	2024-04-03 09:31:23.959	2.7s	2s	463.4%	331.6 MB	1.7 GB	406.3 MB	394.3 MB
610	5e/4d16a1	116162	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_501_1_B)	COMPLETED	0	2024-04-03 09:31:26.557	474ms	37ms	77.6%	1.5 MB	3.9 MB	118.5 KB	926 B
613	39/f21ee4	116576	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_501_1_S)	COMPLETED	0	2024-04-03 09:31:27.057	544ms	38ms	96.0%	1.5 MB	3.9 MB	118.5 KB	927 B
124	4b/3f2405	113110	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Aug_VW_C2_B)	COMPLETED	0	2024-04-03 09:31:22.434	5.3s	5s	267.4%	527.5 MB	6.5 GB	33.6 MB	5.1 MB
616	b0/a98487	117297	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_501_2_B)	COMPLETED	0	2024-04-03 09:31:27.624	393ms	39ms	56.0%	1.5 MB	3.9 MB	118.5 KB	926 B
131	ca/8ff4ae	115701	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Aug_VW_C3_B)	COMPLETED	0	2024-04-03 09:31:26.012	2.4s	2s	391.7%	320.7 MB	1.7 GB	285.3 MB	274.8 MB
