task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
416	22/83ee29	212566	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_SF_02_S)	COMPLETED	0	2024-04-03 09:35:04.281	6.6s	6s	228.6%	909.3 MB	6.5 GB	59.2 MB	5.1 MB
403	44/ac87d4	207072	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Aug_REV_15_B)	COMPLETED	0	2024-04-03 09:34:50.836	21.2s	20s	117.7%	920.1 MB	7 GB	54.8 MB	12 MB
420	5e/10e000	214375	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_SF_S3_B)	COMPLETED	0	2024-04-03 09:35:09.440	4.3s	4s	241.2%	320.3 MB	6.6 GB	12.4 MB	5.4 MB
421	e8/6a754e	215132	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_SF_S3_S)	COMPLETED	0	2024-04-03 09:35:12.067	2.4s	2s	376.9%	285.8 MB	1.5 GB	250.8 MB	240.3 MB
422	cd/d2048d	214777	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_SF_S3_S)	COMPLETED	0	2024-04-03 09:35:10.909	4.5s	4s	336.0%	516.1 MB	6.5 GB	29.4 MB	5.2 MB
425	ef/d8c3f9	215852	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_VW_C1_B)	COMPLETED	0	2024-04-03 09:35:13.792	2.4s	2s	350.8%	235.7 MB	1.3 GB	219.6 MB	209.2 MB
426	af/e661ad	216713	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_VW_C1_S)	COMPLETED	0	2024-04-03 09:35:15.435	3.4s	3s	516.2%	339.1 MB	1.7 GB	545.6 MB	531.8 MB
424	33/872bf8	216106	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_VW_C1_B)	COMPLETED	0	2024-04-03 09:35:14.506	4.7s	4s	313.4%	544.8 MB	6.5 GB	27.6 MB	5.1 MB
428	d5/cb97fc	218111	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_VW_C2_B)	COMPLETED	0	2024-04-03 09:35:18.849	2.6s	2s	381.3%	284.6 MB	1.5 GB	245.6 MB	235.2 MB
427	4c/df889b	216988	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_VW_C1_S)	COMPLETED	0	2024-04-03 09:35:16.214	5.5s	5s	250.9%	831 MB	6.3 GB	49.8 MB	5.3 MB
429	39/94077c	218255	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_VW_C2_B)	COMPLETED	0	2024-04-03 09:35:19.218	4.4s	4s	260.3%	434.1 MB	6.5 GB	28.7 MB	5 MB
430	3d/453078	219189	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_VW_C2_S)	COMPLETED	0	2024-04-03 09:35:21.773	2.3s	1s	357.3%	194.7 MB	1.3 GB	209.4 MB	199.6 MB
432	4d/070b88	219990	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_VW_C3_B)	COMPLETED	0	2024-04-03 09:35:23.669	2.1s	2s	312.8%	66.7 MB	820.7 MB	163 MB	153.7 MB
431	e7/29bf72	219013	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_VW_C2_S)	COMPLETED	0	2024-04-03 09:35:21.437	4.4s	4s	267.1%	351.8 MB	6.5 GB	25.9 MB	5.1 MB
436	ce/5f15c4	220926	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_VW_C3_S)	COMPLETED	0	2024-04-03 09:35:25.840	2.8s	2s	411.9%	324.5 MB	1.7 GB	323.8 MB	312.3 MB
433	96/4de5bf	220224	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_VW_C3_B)	COMPLETED	0	2024-04-03 09:35:24.134	4.5s	4s	263.9%	317.4 MB	6.5 GB	22.1 MB	5 MB
435	a5/973d01	220902	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_VW_C3_S)	COMPLETED	0	2024-04-03 09:35:25.767	5.6s	5s	250.8%	526.3 MB	6.5 GB	35.5 MB	5.1 MB
439	f1/44bd8b	221955	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_VW_S5_B)	COMPLETED	0	2024-04-03 09:35:28.677	3.4s	2s	555.7%	331.6 MB	1.7 GB	583 MB	568.8 MB
418	a4/3d8bb7	213713	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Aug_REV_16_B)	COMPLETED	0	2024-04-03 09:35:07.247	27.3s	27s	114.4%	1 GB	7.1 GB	62.3 MB	17.2 MB
442	bd/e643f4	223357	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_VW_S5_S)	COMPLETED	0	2024-04-03 09:35:32.118	2.9s	2s	507.0%	330.4 MB	1.7 GB	462.9 MB	450.6 MB
440	48/d4a5e9	222875	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_VW_S5_B)	COMPLETED	0	2024-04-03 09:35:31.372	6.5s	6s	246.1%	622.8 MB	6.5 GB	53.1 MB	5.1 MB
445	56/9b62b9	224420	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_VW_S6_B)	COMPLETED	0	2024-04-03 09:35:35.010	3.3s	3s	562.6%	335.2 MB	1.7 GB	597.9 MB	582.7 MB
441	03/1d2c0e	224069	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_VW_S5_S)	COMPLETED	0	2024-04-03 09:35:34.596	5.5s	5s	252.9%	567.7 MB	6.5 GB	43.1 MB	5.1 MB
448	4d/56b0fb	226348	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_VW_S6_S)	COMPLETED	0	2024-04-03 09:35:40.087	2.5s	2s	359.5%	231.4 MB	1.4 GB	216.2 MB	204.9 MB
447	65/33bb27	225864	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_VW_S6_S)	COMPLETED	0	2024-04-03 09:35:38.361	4.5s	4s	284.6%	381.3 MB	6.5 GB	28.4 MB	5.1 MB
444	b5/8404c3	225568	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_VW_S6_B)	COMPLETED	0	2024-04-03 09:35:37.845	6.5s	6s	228.9%	741.2 MB	6.5 GB	56.7 MB	5.2 MB
449	00/1033d4	227141	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_VW_S7_B)	COMPLETED	0	2024-04-03 09:35:42.573	4.6s	5s	664.7%	493.3 MB	1.7 GB	1 GB	1010.7 MB
453	b5/d568dc	228009	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_VW_S7_S)	COMPLETED	0	2024-04-03 09:35:44.361	4.3s	4s	673.5%	459.2 MB	1.7 GB	987.4 MB	967.8 MB
450	c2/8bfa58	227306	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_VW_S7_B)	COMPLETED	0	2024-04-03 09:35:42.894	7.5s	7s	232.1%	1.2 GB	6.3 GB	80.8 MB	5.1 MB
438	f5/60f991	221945	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Aug_REV_17_B)	COMPLETED	0	2024-04-03 09:35:28.641	23.7s	24s	115.8%	1014.3 MB	7 GB	57.5 MB	13.1 MB
455	77/1038fc	230403	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Oct_501_1_B)	COMPLETED	0	2024-04-03 09:35:50.448	2.8s	3s	365.3%	333 MB	1.7 GB	301.3 MB	290.3 MB
456	a6/6c85a6	229950	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Oct_501_1_B)	COMPLETED	0	2024-04-03 09:35:48.701	5.4s	4s	252.2%	605.8 MB	6.5 GB	32.9 MB	5.2 MB
452	c9/3bf6c3	229488	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_VW_S7_S)	COMPLETED	0	2024-04-03 09:35:47.190	7.3s	7s	223.5%	823 MB	6.5 GB	82.2 MB	5.2 MB
459	f8/2065ab	231130	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Oct_501_1_S)	COMPLETED	0	2024-04-03 09:35:52.354	3s	3s	469.5%	330.1 MB	1.7 GB	446 MB	434 MB
460	70/635ac3	232096	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Oct_501_2_B)	COMPLETED	0	2024-04-03 09:35:54.130	2.2s	2s	367.3%	281.5 MB	1.5 GB	240.8 MB	230.2 MB
458	b8/bc6b34	231421	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Oct_501_1_S)	COMPLETED	0	2024-04-03 09:35:53.274	5.5s	5s	262.8%	1.1 GB	6.5 GB	40.2 MB	5.2 MB
461	fa/fad927	232305	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Oct_501_2_B)	COMPLETED	0	2024-04-03 09:35:54.507	4.4s	4s	268.1%	402.6 MB	6.4 GB	29.5 MB	5.1 MB
463	ea/7a1c90	233353	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Oct_501_2_S)	COMPLETED	0	2024-04-03 09:35:56.313	2.8s	2s	516.3%	332.9 MB	1.7 GB	482 MB	469.2 MB
462	9e/404ac0	232700	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Oct_501_2_S)	COMPLETED	0	2024-04-03 09:35:55.337	5.4s	5s	332.1%	795.1 MB	6.7 GB	44.8 MB	5.2 MB
465	47/80eb11	234437	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Oct_501_3_B)	COMPLETED	0	2024-04-03 09:35:58.960	2.2s	2s	368.0%	234.4 MB	1.4 GB	234.1 MB	223.5 MB
468	1b/167498	235545	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Oct_501_3_S)	COMPLETED	0	2024-04-03 09:36:00.737	2.4s	2s	336.1%	281.9 MB	1.5 GB	240.7 MB	230.5 MB
466	3a/c74fd3	234310	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Oct_501_3_B)	COMPLETED	0	2024-04-03 09:35:58.848	4.5s	4s	282.0%	451 MB	6.4 GB	28.2 MB	5.2 MB
467	25/9ca4b8	234554	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Oct_501_3_S)	COMPLETED	0	2024-04-03 09:35:59.097	4.4s	4s	269.5%	351.9 MB	6.4 GB	28.1 MB	5.2 MB
471	aa/b4c238	236676	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Oct_501_4_B)	COMPLETED	0	2024-04-03 09:36:03.418	2.8s	3s	532.8%	333.7 MB	1.7 GB	519.5 MB	505.9 MB
472	6d/41db74	236538	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Oct_501_4_B)	COMPLETED	0	2024-04-03 09:36:03.147	5.5s	5s	294.3%	768.4 MB	6.5 GB	50.8 MB	5.1 MB
473	c3/220942	236761	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Oct_501_4_S)	COMPLETED	0	2024-04-03 09:36:03.568	5.6s	6s	268.1%	745.3 MB	6.5 GB	44.6 MB	5.2 MB
474	18/4b5bde	237926	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Oct_501_4_S)	COMPLETED	0	2024-04-03 09:36:06.267	3s	3s	494.7%	328.6 MB	1.7 GB	494.9 MB	482.2 MB
478	1e/06c570	239120	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Oct_REV_01_B)	COMPLETED	0	2024-04-03 09:36:09.335	3.1s	3s	531.3%	339.5 MB	1.7 GB	510.3 MB	496.4 MB
477	4b/fc599e	239079	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Oct_REV_01_B)	COMPLETED	0	2024-04-03 09:36:09.231	5.5s	5s	251.1%	882.1 MB	6.4 GB	47.4 MB	5.2 MB
482	9c/1c6d9f	240600	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Oct_REV_02_B)	COMPLETED	0	2024-04-03 09:36:14.793	6.6s	6s	238.2%	781 MB	6.4 GB	61 MB	5.1 MB
469	e7/dfd4ab	235739	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Aug_REV_C1_B)	COMPLETED	0	2024-04-03 09:36:01.228	20.8s	20s	113.7%	915.2 MB	7 GB	52.7 MB	10.6 MB
486	e0/dbac6c	241673	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Oct_REV_03_B)	COMPLETED	0	2024-04-03 09:36:22.015	2.4s	2s	328.3%	252.4 MB	1.4 GB	241.2 MB	231.1 MB
483	63/17623d	241490	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Oct_REV_02_B)	COMPLETED	0	2024-04-03 09:36:21.403	3.5s	3s	602.6%	330.2 MB	1.7 GB	720.3 MB	704.5 MB
485	01/dd11b8	242824	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Oct_REV_03_B)	COMPLETED	0	2024-04-03 09:36:24.404	4.6s	4s	268.8%	490.8 MB	6.5 GB	27.7 MB	5.2 MB
481	d2/a7618b	240170	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Aug_REV_C3_B)	COMPLETED	0	2024-04-03 09:36:12.431	17.1s	17s	122.1%	874.4 MB	6.9 GB	50.1 MB	8.5 MB
488	18/5c8962	243063	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Oct_REV_04_B)	COMPLETED	0	2024-04-03 09:36:24.885	5.4s	5s	251.4%	516.9 MB	6.5 GB	42.4 MB	5.2 MB
487	49/758f25	243728	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Oct_REV_04_B)	COMPLETED	0	2024-04-03 09:36:29.018	2.8s	2s	516.6%	329.9 MB	1.7 GB	449.4 MB	436.9 MB
493	80/10e3c2	243987	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Oct_REV_05_B)	COMPLETED	0	2024-04-03 09:36:29.610	3.1s	3s	518.7%	321.3 MB	1.7 GB	491.2 MB	478.6 MB
495	a8/aa80a5	245193	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Oct_REV_06_B)	COMPLETED	0	2024-04-03 09:36:31.862	1.6s	1s	107.2%	2.7 MB	13.1 MB	10.3 MB	2.6 MB
475	fd/0fc73e	238729	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Aug_REV_C2_B)	COMPLETED	0	2024-04-03 09:36:08.634	25.2s	24s	115.9%	970 MB	7 GB	59.3 MB	15.2 MB
492	a1/ab8116	244217	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Oct_REV_05_B)	COMPLETED	0	2024-04-03 09:36:30.338	5.4s	5s	249.8%	675.7 MB	6.5 GB	44.5 MB	5.2 MB
496	64/369e89	245494	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Oct_REV_06_B)	COMPLETED	0	2024-04-03 09:36:32.745	4.5s	4s	234.2%	324.5 MB	6.5 GB	12.5 MB	5.2 MB
499	8e/3e11cf	246050	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Oct_REV_07_B)	COMPLETED	0	2024-04-03 09:36:33.861	4.4s	4s	327.4%	617.7 MB	6.6 GB	35.5 MB	5.2 MB
498	cd/813d1d	246624	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Oct_REV_07_B)	COMPLETED	0	2024-04-03 09:36:35.811	2.6s	2s	439.1%	330.9 MB	1.7 GB	354.7 MB	343.4 MB
500	18/679d99	247076	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Oct_REV_08_B)	COMPLETED	0	2024-04-03 09:36:37.270	2.2s	2s	321.5%	261.2 MB	1.5 GB	190.8 MB	181.1 MB
505	11/bcbdcd	247657	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Oct_REV_09_B)	COMPLETED	0	2024-04-03 09:36:38.408	3.5s	3s	608.9%	335.1 MB	1.7 GB	719.7 MB	703.9 MB
501	58/dc4284	247632	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Oct_REV_08_B)	COMPLETED	0	2024-04-03 09:36:38.341	5.2s	5s	258.9%	341.1 MB	6.5 GB	24.9 MB	5.2 MB
509	b6/6b7593	249920	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Oct_REV_10_B)	COMPLETED	0	2024-04-03 09:36:43.619	4.6s	4s	249.0%	318.2 MB	6.3 GB	23.9 MB	5 MB
506	83/a96ca6	249459	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Oct_REV_09_B)	COMPLETED	0	2024-04-03 09:36:41.920	6.6s	6s	233.2%	924.2 MB	6.3 GB	61.5 MB	5.1 MB
510	48/14f479	250764	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Oct_REV_10_B)	COMPLETED	0	2024-04-03 09:36:48.248	2.1s	2s	333.3%	71.6 MB	763.7 MB	166.6 MB	156.5 MB
512	56/3ece73	250864	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Oct_REV_11_B)	COMPLETED	0	2024-04-03 09:36:48.556	3.1s	3s	547.4%	334.4 MB	1.7 GB	542.8 MB	528.9 MB
497	a0/0370dd	245840	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Aug_REV_C4_B)	COMPLETED	0	2024-04-03 09:36:33.498	22.2s	22s	115.8%	947.3 MB	7 GB	55.5 MB	12.6 MB
511	8c/142d6f	251835	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Oct_REV_11_B)	COMPLETED	0	2024-04-03 09:36:50.348	5.4s	5s	256.8%	610.9 MB	6.3 GB	49.5 MB	5.1 MB
515	9f/708b07	252155	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Oct_REV_12_B)	COMPLETED	0	2024-04-03 09:36:51.680	5.5s	6s	251.2%	856.7 MB	6.5 GB	35.3 MB	5.2 MB
514	14/adb88d	252881	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Oct_REV_12_B)	COMPLETED	0	2024-04-03 09:36:55.689	2.5s	2s	446.3%	329.9 MB	1.7 GB	363.5 MB	352.1 MB
517	e8/802e7c	252900	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Oct_REV_13_B)	COMPLETED	0	2024-04-03 09:36:55.747	3.6s	3s	585.6%	325.3 MB	1.7 GB	669.4 MB	653.5 MB
507	93/ab7970	248382	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Aug_REV_C5_B)	COMPLETED	0	2024-04-03 09:36:39.456	20.5s	20s	117.0%	921.6 MB	7 GB	53.2 MB	10.9 MB
520	58/c39328	254763	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Oct_REV_14_B)	COMPLETED	0	2024-04-03 09:36:59.350	2.5s	2s	277.4%	191.6 MB	1.2 GB	187.2 MB	177.7 MB
518	84/eaad63	253571	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Oct_REV_13_B)	COMPLETED	0	2024-04-03 09:36:57.186	5.3s	5s	271.6%	853.6 MB	6.6 GB	59 MB	5.2 MB
521	f9/d97eb5	254174	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Oct_REV_14_B)	COMPLETED	0	2024-04-03 09:36:58.233	5.5s	5s	284.6%	340.4 MB	6.5 GB	24.7 MB	5.2 MB
524	2d/bcaa2f	255847	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Oct_REV_15_B)	COMPLETED	0	2024-04-03 09:37:01.924	2.4s	2s	328.9%	227.9 MB	1.3 GB	186.2 MB	176.3 MB
528	8e/8a7aaf	256984	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Oct_REV_16_B)	COMPLETED	0	2024-04-03 09:37:04.308	2.7s	2s	455.6%	327.7 MB	1.7 GB	364.9 MB	352.8 MB
525	67/21bdf4	256083	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Oct_REV_15_B)	COMPLETED	0	2024-04-03 09:37:02.560	4.5s	4s	282.8%	334.6 MB	6.5 GB	26.7 MB	5.3 MB
527	34/5c8945	256715	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Oct_REV_16_B)	COMPLETED	0	2024-04-03 09:37:03.725	5.5s	5s	256.2%	642.3 MB	6.5 GB	38.5 MB	5.2 MB
530	b4/27ab90	257875	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Oct_REV_17_B)	COMPLETED	0	2024-04-03 09:37:07.080	2.3s	2s	273.8%	108.1 MB	919.2 MB	151.1 MB	141.8 MB
529	bb/447d2f	257864	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Oct_REV_17_B)	COMPLETED	0	2024-04-03 09:37:06.998	4.4s	4s	257.8%	322.9 MB	6.5 GB	22.5 MB	5.1 MB
535	45/3e3282	258884	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Oct_REV_C1_B)	COMPLETED	0	2024-04-03 09:37:09.399	3.1s	3s	504.1%	344.1 MB	1.7 GB	472.5 MB	459.5 MB
536	45/989076	259787	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Oct_REV_C1_B)	COMPLETED	0	2024-04-03 09:37:11.458	5.6s	5s	234.6%	552 MB	6.3 GB	45.6 MB	5.1 MB
537	05/50d766	260131	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Oct_REV_C2_B)	COMPLETED	0	2024-04-03 09:37:12.564	4.6s	4s	246.6%	334.4 MB	6.3 GB	26.7 MB	5.1 MB
541	f7/d4d4ca	261016	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Oct_REV_C3_B)	COMPLETED	0	2024-04-03 09:37:17.160	2.2s	2s	295.7%	111.2 MB	914.2 MB	165.7 MB	156 MB
538	da/7a7792	261005	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Oct_REV_C2_B)	COMPLETED	0	2024-04-03 09:37:17.119	2.4s	2s	335.4%	186.9 MB	1.2 GB	191.4 MB	180.7 MB
522	27/299a52	255063	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Aug_REV_C6_B)	COMPLETED	0	2024-04-03 09:36:59.988	22.3s	22s	118.0%	948.1 MB	7 GB	55.2 MB	12.5 MB
543	66/4fc897	262079	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Oct_REV_C4_B)	COMPLETED	0	2024-04-03 09:37:19.523	3.2s	3s	549.7%	326.1 MB	1.7 GB	538.1 MB	524.5 MB
542	4c/9d6ec6	262053	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Oct_REV_C3_B)	COMPLETED	0	2024-04-03 09:37:19.406	4.5s	4s	258.0%	349.6 MB	6.5 GB	24.1 MB	5.1 MB
547	72/62dad6	263607	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Oct_REV_C5_B)	COMPLETED	0	2024-04-03 09:37:23.971	3.6s	3s	225.4%	287.1 MB	6.3 GB	11.9 MB	4.5 MB
544	88/89061f	263020	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Oct_REV_C4_B)	COMPLETED	0	2024-04-03 09:37:22.336	5.5s	5s	298.3%	1.1 GB	6.4 GB	47.7 MB	5.2 MB
546	5c/4b4faa	264308	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Oct_REV_C5_B)	COMPLETED	0	2024-04-03 09:37:27.543	1.4s	1s	100.9%	2.7 MB	13.1 MB	7.7 MB	14.6 KB
550	d4/3ec29f	264408	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Oct_REV_C6_B)	COMPLETED	0	2024-04-03 09:37:27.822	2.9s	2s	498.6%	332.7 MB	1.7 GB	439.7 MB	427.2 MB
533	84/88a0c2	258850	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Aug_SF_01_B)	COMPLETED	0	2024-04-03 09:37:09.278	22.7s	22s	114.8%	942.9 MB	7 GB	56.9 MB	13.4 MB
553	2f/882e69	265492	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Oct_SF_01_B)	COMPLETED	0	2024-04-03 09:37:30.756	2.7s	2s	463.5%	333.1 MB	1.7 GB	365.4 MB	354.3 MB
549	02/059667	264735	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Oct_REV_C6_B)	COMPLETED	0	2024-04-03 09:37:29.007	5.4s	5s	273.4%	557.4 MB	6.5 GB	42.3 MB	5.2 MB
554	3f/7d2286	265787	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Oct_SF_01_B)	COMPLETED	0	2024-04-03 09:37:32.019	5.3s	5s	296.0%	765 MB	6.6 GB	38.5 MB	5.1 MB
557	0f/1ac0ed	266920	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Oct_SF_01_S)	COMPLETED	0	2024-04-03 09:37:34.486	4.5s	4s	307.4%	379.7 MB	6.5 GB	31 MB	5.2 MB
556	48/3e26df	267523	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Oct_SF_01_S)	COMPLETED	0	2024-04-03 09:37:37.359	2.4s	2s	424.9%	330.8 MB	1.7 GB	283.7 MB	273 MB
561	05/97398e	268150	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Oct_SF_02_B)	COMPLETED	0	2024-04-03 09:37:39.015	2.5s	2s	471.6%	315.8 MB	1.7 GB	348 MB	335.6 MB
